scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
1-hour-battery,3.0,30.0,0.04,581.7268163835834,177.31108206284483
1-hour-battery,6.0,2.5,0.0,188.32840334860327,824.6972696956733
1-hour-battery,6.0,2.5,0.01,188.32840334860327,753.6034111317607
1-hour-battery,6.0,2.5,0.02,188.32840334860327,689.7985438354002
1-hour-battery,6.0,2.5,0.03,188.32840334860327,632.3964238504723
1-hour-battery,6.0,2.5,0.04,188.32840334860327,580.6313207032689
1-hour-battery,6.0,5.0,0.0,330.25917612121634,783.3995277295917
1-hour-battery,6.0,5.0,0.01,330.25917612121634,721.0632079309929
1-hour-battery,6.0,5.0,0.02,330.25917612121634,665.1180012305088
1-hour-battery,6.0,5.0,0.03,330.25917612121634,614.7868336616363
1-hour-battery,6.0,5.0,0.04,330.25917612121634,569.3982995551266
1-hour-battery,6.0,7.5,0.0,438.177171527045,710.3536743507609
1-hour-battery,6.0,7.5,0.01,438.177171527045,655.2164684477015
1-hour-battery,6.0,7.5,0.02,438.177171527045,605.7322770308841
1-hour-battery,6.0,7.5,0.03,438.177171527045,561.2137690639013
1-hour-battery,6.0,7.5,0.04,438.177171527045,521.0670783584789
1-hour-battery,6.0,10.0,0.0,524.8707949812873,646.0872146358907
1-hour-battery,6.0,10.0,0.01,524.8707949812873,596.5526125800656
1-hour-battery,6.0,10.0,0.02,524.8707949812873,552.0966106891476
1-hour-battery,6.0,10.0,0.03,524.8707949812873,512.1017190339428
1-hour-battery,6.0,10.0,0.04,524.8707949812873,476.0344153797135
1-hour-battery,6.0,12.5,0.0,597.8879410443611,593.2255237788765
1-hour-battery,6.0,12.5,0.01,597.8879410443611,548.0850564230353
1-hour-battery,6.0,12.5,0.02,597.8879410443611,507.5726747980332
1-hour-battery,6.0,12.5,0.03,597.8879410443611,471.1256655109187
1-hour-battery,6.0,12.5,0.04,597.8879410443611,438.25783422437485
1-hour-battery,6.0,15.0,0.0,662.061518472555,550.2777895940885
1-hour-battery,6.0,15.0,0.01,662.061518472555,508.6231523416543
1-hour-battery,6.0,15.0,0.02,662.061518472555,471.23921150828
1-hour-battery,6.0,15.0,0.03,662.061518472555,437.6067074665513
1-hour-battery,6.0,15.0,0.04,662.061518472555,407.2769907021539
1-hour-battery,6.0,20.0,0.0,754.2260869615975,472.94500680654
1-hour-battery,6.0,20.0,0.01,754.2260869615975,437.35502024699355
1-hour-battery,6.0,20.0,0.02,754.2260869615975,405.413943825186
1-hour-battery,6.0,20.0,0.03,754.2260869615975,376.678118818354
1-hour-battery,6.0,20.0,0.04,754.2260869615975,350.7642162327139
