name,scenario,pv_kwp,battery_kwh,battery_kw,household_kwh,orientation,tilt,degradation,ev_weekdays_only,ev_kwh_per_day,ev_charge_kw,connection_kw,battery_efficiency,ev_efficiency,battery_hours,battery_soc_min,v2g_kw,ev_capacity_kwh,ev_departure,ev_return,tariff,net_metering,transport,annual_bill,imported_kwh,exported_kwh,solar_available_kwh,solar_curtailed_kwh,base_load_kwh,ev_charge_kwh,battery_charge_kwh,battery_discharge_kwh,peak_import_kw,peak_export_kw,solar_curtailed_share,solar_to_load_share,solar_to_export_share,solar_to_battery_share,solar_to_ev_share,ev_from_solar_share,ev_from_grid_share,ev_from_battery_share,load_from_solar_share,load_from_grid_share,load_from_battery_share,battery_from_solar_share,battery_from_grid_share,demand_kwh,demand_from_solar_share,demand_from_grid_share,demand_from_battery_share,self_consumption,self_sufficiency,capex,annual_savings,npv,irr,payback_years,lifetime_years,cycles_per_year
1-hour-battery|pv=03.0|bat=00.0,1-hour-battery,3.0,0.0,0.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,929.3587755953723,5020.408404592494,2176.9831010416383,3591.9103823688893,96.2052511371347,3500.0,2839.13043478261,0.0,0.0,13.069897129267877,2.3347800562488095,0.026783867328473456,0.2652744645142615,0.6060794589217754,0.0,0.10186220923549123,0.12887041836526533,0.8711295816347348,0.0,0.2722406009331783,0.7277593990668216,0.0,NaN,NaN,6339.130434782612,0.20802885249912667,0.7919711475008733,0.0,0.37724063691992465,0.27521369195649514,0.0,0.0,NaN,NaN,NaN,NaN,NaN
1-hour-battery|pv=03.0|bat=02.5,1-hour-battery,3.0,2.5,2.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,754.8285600911324,4435.55602063414,1534.282011342424,3591.9103823688893,67.45575731570572,3500.0,2839.13043478261,899.1482006388608,812.5500010765719,14.894774998606088,2.318803768300165,0.018779911004132066,0.26481527625725887,0.4238028017470138,0.20837145628248688,0.08423055470910892,0.10656382682027231,0.8934361731797277,0.0,0.2717693543423817,0.49950788182725475,0.22872276383036355,0.8324007062224021,0.1675992937775978,6339.130434782608,0.19777812699537364,0.6759380424947207,0.12628383050990552,0.5681533020571986,0.5038685724172378,1400.0,174.5302155042399,881.3795427382232,0.07239221065896564,8.657862158630325,15.0,325.0200004306288
1-hour-battery|pv=03.0|bat=05.0,1-hour-battery,3.0,5.0,5.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,634.3540208826857,4006.3902572013594,1053.0113445442794,3591.9103823688893,52.40720672974282,3500.0,2839.13043478261,1598.863112960166,1445.1114594465498,17.25,4.705929371101603,0.014590343619647858,0.2638958078553334,0.27728507757953297,0.3726208498978724,0.07160792104761304,0.09059437069874066,0.904231225472317,0.005174403828942301,0.2708257405997712,0.33677641467350117,0.3923978447267275,0.8371077477404003,0.16289225225959977,6339.130434782609,0.19010483213243706,0.5909245569585682,0.2189706109089948,0.7187270177025847,0.6669732103362016,2400.0,295.0047547126866,1456.1678874205072,0.07002668625122616,8.791775390859968,15.0,289.02229188930994
1-hour-battery|pv=03.0|bat=07.5,1-hour-battery,3.0,7.5,7.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,553.3635927311436,3770.705535656646,770.1551082150856,3591.9103823688893,45.61158775953745,3500.0,2839.13043478261,2163.3337155723293,1955.6149283040272,17.250000000000014,7.252996392855625,0.0126984203123287,0.26262922708048514,0.16112046257087254,0.49634476149545875,0.06720712854085527,0.08502673206473597,0.85684018750512,0.05813308043014405,0.2695258992754034,0.27357619086961293,0.45689790985498363,0.8241104408518344,0.17588955914816556,6339.130434782611,0.18689355621054335,0.5348048532859274,0.27830159050352926,0.8371805105493275,0.7302717313832064,3400.0,375.9951828642287,1514.8379028600375,0.05288160070992827,9.875633113028277,15.0,260.74865710720366
1-hour-battery|pv=03.0|bat=10.0,1-hour-battery,3.0,10.0,10.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,499.5753701729099,3661.672190297143,624.7903668188302,3591.9103823688893,42.392517400858246,3500.0,2839.1304347826094,2579.941063217788,2332.6718095540537,17.25000000000002,10.056125615661525,0.011802220236046115,0.26220750766827405,0.07553772001647166,0.5825751515709188,0.06787740050829019,0.08587472298806416,0.7921480660065422,0.12197721100539359,0.2690931054653553,0.2643649084182027,0.46654198611644193,0.8110874179535725,0.18891258204642739,6339.130434782612,0.18703439232566313,0.5007451566384947,0.31222045103584206,0.9240555614038414,0.7396420267661906,4400.0,429.7834054224624,1217.9330673854256,0.03396790104627309,11.342539977946881,15.0,233.26718095540537
1-hour-battery|pv=03.0|bat=12.5,1-hour-battery,3.0,12.5,12.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,463.0171163443713,3647.8997311871726,583.9052419469272,3591.9103823688893,40.59810637644226,3500.0,2839.1304347826094,2887.385440513667,2611.2091100635853,17.250000000000014,12.556125615661525,0.011302650137297561,0.2616709839826489,0.028667559415878868,0.6306155640965663,0.06774324236761071,0.085704993548204,0.7393521322318346,0.1749428742199614,0.26854249260913143,0.26471764056987196,0.4667398668209966,0.7844863938771193,0.2155136061228807,6339.130434782606,0.18665436717237863,0.47729399383136817,0.3360516389962531,0.9715827863568154,0.7395490005756958,5400.0,466.34165925100103,695.8059225910231,0.016350384056667576,13.039807044199295,15.0,208.8967288050868
1-hour-battery|pv=03.0|bat=15.0,1-hour-battery,3.0,15.0,15.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,436.4221565808293,3736.980219062195,649.1806773980829,3591.9103823688893,39.8244571476424,3500.0,2839.13043478261,3150.4362266948624,2849.6811945921136,17.25000000000002,15.056125615661525,0.011087263575150197,0.2613616101693644,0.019893323604969173,0.6371700323394955,0.07048777031102098,0.08917721810466109,0.6861217301125894,0.22470105178274963,0.2682249946057116,0.26491787455243926,0.46685713084184916,0.7264573823465698,0.27354261765343024,6339.130434782606,0.18803418661175686,0.4535640458012582,0.35840176758698494,0.9804984048089339,0.7394976364437215,6400.0,492.936619014543,43.44313239563024,0.0008887557022586083,14.883059488232066,15.0,189.9787463061409
1-hour-battery|pv=03.0|bat=20.0,1-hour-battery,3.0,20.0,20.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,395.6100198635112,3993.2172960643784,872.1213031572184,3591.9103823688893,35.42854944135293,3500.0,2839.13043478261,3558.9476005342162,3220.5002094821302,17.250000000000007,17.25,0.009863428000669538,0.26088180404033035,0.01961003323114646,0.6393260336115325,0.07031870111632169,0.08896332113524422,0.6366112834778318,0.27442539538692395,0.2677325887153111,0.2637854409514899,0.468481970333199,0.6452474370522573,0.3547525629477427,6339.130434782607,0.1876665175700548,0.4307643676796801,0.38156911475026506,0.9810380437709448,0.7407993567358476,8400.0,533.7487557318611,-1423.0791913560236,-0.02338701275410307,Inf,15.0,161.02501047410652
1-hour-battery|pv=03.0|bat=25.0,1-hour-battery,3.0,25.0,25.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,368.56855728938626,4256.506306367976,1112.8046013769583,3591.9103823688893,32.13723818593495,3500.0,2839.13043478261,3846.481173244736,3482.1367588533744,17.25000000000005,17.25,0.008947115814381823,0.26013125024667927,0.019793975743873298,0.6431381509066624,0.06798950728840332,0.08601655426939217,0.6368816560561049,0.27710178967450294,0.266962325297042,0.26055132617107807,0.4724863485318799,0.6005734845675762,0.3994265154324237,6339.130434782608,0.18592145528260073,0.42909982096869287,0.38497872374870623,0.9810785438911264,0.7445843986658064,10400.0,560.7902183059861,-3069.605500029312,-0.04262673349866964,Inf,15.0,139.285470354135
1-hour-battery|pv=03.0|bat=30.0,1-hour-battery,3.0,30.0,30.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,347.63195921178897,4473.204710846463,1313.4817200117864,3591.9103823688893,26.601448557236385,3500.0,2839.13043478261,4089.5024601407094,3703.6009702769907,17.250000000000032,17.25,0.007405933257079913,0.25961377600097424,0.019790157978796373,0.6453656572937339,0.06782447546941621,0.08580776516383408,0.630877349970199,0.28331488486596695,0.26643126212111157,0.260187077328013,0.47338166055087544,0.5668404964788615,0.43315950352113863,6339.130434782608,0.18553473021912106,0.42620953825760644,0.38825573152327236,0.9812129805176222,0.7453832695614996,12400.0,581.7268163835834,-4795.931818880373,-0.058028585379037365,Inf,15.0,123.45336567589969
