scenario,pv_kwp,battery_kwh,capex_per_kwh,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
base,0.0,15.0,250.0,281.01329958943484,154.79587753199834,4150.0,-476.7220459879064,-0.015582514222991846,Inf,15.0
base,0.0,15.0,300.0,281.01329958943484,154.79587753199834,4900.0,-1226.7220459879052,-0.0355491125492964,Inf,15.0
base,0.0,15.0,350.0,281.01329958943484,154.79587753199834,5650.0,-1976.7220459879056,-0.051659454700013395,Inf,15.0
base,0.0,15.0,400.0,281.01329958943484,154.79587753199834,6400.0,-2726.722045987906,-0.06508563650213098,Inf,15.0
base,0.0,20.0,100.0,325.22031744935146,137.489587258602,2400.0,1851.1319714365275,0.0867887044067265,7.905271620892853,15.0
base,0.0,20.0,150.0,325.22031744935146,137.489587258602,3400.0,851.1319714365274,0.030894296051054593,11.61321306777866,15.0
base,0.0,20.0,200.0,325.22031744935146,137.489587258602,4400.0,-148.86802856347262,-0.004480256538624359,Inf,15.0
base,0.0,20.0,250.0,325.22031744935146,137.489587258602,5400.0,-1148.8680285634725,-0.029806305296273254,Inf,15.0
base,0.0,20.0,300.0,325.22031744935146,137.489587258602,6400.0,-2148.8680285634728,-0.049286771767349156,Inf,15.0
base,0.0,20.0,350.0,325.22031744935146,137.489587258602,7400.0,-3148.8680285634737,-0.06498879394506096,Inf,15.0
base,0.0,20.0,400.0,325.22031744935146,137.489587258602,8400.0,-4148.868028563473,-0.07806821392080712,Inf,15.0
base,0.0,30.0,100.0,379.1966622784407,107.733639717798,3400.0,1556.6861846660233,0.05421982000739939,9.784064178152832,15.0
base,0.0,30.0,150.0,379.1966622784407,107.733639717798,4900.0,56.686184666023564,0.0015127171205232932,14.801642940499894,15.0
base,0.0,30.0,200.0,379.1966622784407,107.733639717798,6400.0,-1443.3138153339771,-0.03173702198444039,Inf,15.0
base,0.0,30.0,250.0,379.1966622784407,107.733639717798,7900.0,-2943.313815333976,-0.05555016010843906,Inf,15.0
base,0.0,30.0,300.0,379.1966622784407,107.733639717798,9400.0,-4443.313815333978,-0.07389013738167755,Inf,15.0
