strategy,imported_kwh,exported_kwh,annual_bill,self_sufficiency
economic,4970.429381972783,4607.218862134772,828.2702643782027,0.30638423327663394
green,4738.077002309699,4385.46387147524,854.4291756819439,0.30638423327663394
