strategy,capacity_kwh,power_kw,capex,annual_bill,imported_kwh,exported_kwh,netted_kwh,savings_per_kwh,annual_savings,npv,irr,payback_years,self_consumption,self_sufficiency,cycles_per_year
economic,2.5,1.25,1400.0,617.2349398666961,4053.142961167351,3484.8924739462877,0.0,77.79695037804359,194.49237594510896,512.1803018250229,0.09122492861966744,7.696330474783766,0.4067408587304281,0.5399599674250264,331.04316339291887
economic,5.0,2.5,2400.0,470.2643699321811,3437.4857923915265,2835.6965881064843,0.0,68.29258917592479,341.46294587962393,957.1430023480084,0.09554002290086139,7.500915735060076,0.5261349795845361,0.7160656486292056,301.67461935770933
economic,7.5,3.75,3400.0,365.71772738206136,3027.2384788700306,2381.955297663401,0.0,59.467945123965826,446.0095884297437,985.0086425040079,0.08109990343446548,8.189601125558177,0.6271442234063129,0.7939641791111722,280.29802641161245
economic,10.0,5.0,4400.0,284.5514508887205,2753.7311542158377,2068.8204565073347,0.0,52.717586492308456,527.1758649230845,783.0067867955493,0.0657823877030807,9.04047861706939,0.7113076872624755,0.8125849437291897,259.3508352987266
economic,15.0,7.5,6400.0,162.36238685112636,2382.897734711956,1627.540057559346,0.0,43.29099526404525,649.3649289606788,-15.673520256355346,0.039630940864490705,10.868250177726175,0.8415339496856703,0.8148929430337027,225.31613760558812
