strategy,imported_kwh,exported_kwh,annual_bill,self_sufficiency
economic,4749.27175901117,4249.934840298648,811.727315811805,0.3060505453949572
green,4724.729871556989,4246.486768962249,823.6952645706765,0.30638423327663394
