name,forecast,window_hours,pv_kwp,battery_kwh,annual_bill,imported_kwh,exported_kwh,curtailed_kwh,battery_discharge_kwh,cycles_per_year,self_consumption,self_sufficiency,annual_savings,npv
good|w=06.0|pv=00.0|bat=00.0,good,6.0,0.0,0.0,1378.9992010151407,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
good|w=06.0|pv=00.0|bat=05.0,good,6.0,0.0,5.0,1250.330946058479,6480.031364712362,30.685543581795507,0.0,1042.1219095285278,208.42438190570556,NaN,0.28898181884192353,128.6682549566617,-718.1071322814992
good|w=06.0|pv=00.0|bat=10.0,good,6.0,0.0,10.0,1225.9681301301375,6632.638520542216,164.83383902640924,0.0,1234.9077710431789,123.49077710431789,NaN,0.3057354091476484,153.03107088500315,-2399.647490769942
good|w=06.0|pv=00.0|bat=15.0,good,6.0,0.0,15.0,1205.6895879132362,6813.126547718796,328.46576033774056,0.0,1412.8578791804916,94.19052527869944,NaN,0.3098263196693574,173.30961310190446,-4134.575616329563
good|w=06.0|pv=00.0|bat=20.0,good,6.0,0.0,20.0,1186.5374597002797,7007.076124213123,505.49532624536005,0.0,1591.3995156369247,79.56997578184624,NaN,0.3102583398261613,192.461741314861,-5884.227713081387
good|w=06.0|pv=06.0|bat=00.0,good,6.0,6.0,0.0,704.3858933690209,5019.15720868512,5625.954388066455,237.89315057383232,0.0,NaN,0.19003555744028153,0.3152856896267605,0.0,NaN
good|w=06.0|pv=06.0|bat=05.0,good,6.0,6.0,5.0,393.0143810010652,3809.6924190950176,4342.773375720948,151.79206668242952,1501.2576333204577,300.25152666409156,0.40123609217834144,0.7062567443872413,311.3715123679557,1670.106694450618
good|w=06.0|pv=06.0|bat=10.0,good,6.0,6.0,10.0,267.8198653462258,3774.629288316979,4249.66209126548,109.98607286807824,2447.471665231559,244.74716652315593,0.5371357548204765,0.7348706296409752,436.5660280227951,1306.592423026552
good|w=06.0|pv=06.0|bat=15.0,good,6.0,6.0,15.0,183.6869328413071,3806.7072370907786,4246.592285969962,76.64988650224346,3103.310190797959,206.88734605319726,0.6309727916668004,0.736223161798994,520.6989605277138,406.3398251182807
good|w=06.0|pv=06.0|bat=20.0,good,6.0,6.0,20.0,131.98869712121643,3863.0543355766795,4268.182042669627,70.51045270059497,3503.790600726843,175.18953003634215,0.6847694968470723,0.7358440500569954,572.3971962478045,-917.8843670840838
good|w=06.0|pv=12.0|bat=00.0,good,6.0,12.0,0.0,154.40909635081016,4612.24781132811,12124.52702455278,516.2318814682748,0.0,NaN,0.12467197688452855,0.3456899805482828,0.0,NaN
good|w=06.0|pv=12.0|bat=05.0,good,6.0,12.0,5.0,-176.67416830688808,3282.7358047063926,10767.013520564129,374.0932225994634,1596.8101641308863,319.36203282617726,0.2433643237157477,0.7506729152548804,331.08326465769824,1927.7697489275633
good|w=06.0|pv=12.0|bat=10.0,good,6.0,12.0,10.0,-326.9021971269798,3210.1335760853367,10631.485688143592,314.9001600945653,2749.1137163329604,274.911371633296,0.3286868259109103,0.7887382114778018,481.31129347778995,1891.482168039998
good|w=06.0|pv=12.0|bat=15.0,good,6.0,12.0,15.0,-450.8813188304615,3258.5492615553894,10632.431024512623,254.21650167669736,3772.1546577257486,251.47697718171656,0.4033608604072705,0.7909405519338204,605.2904151812717,1512.0808200487925
good|w=06.0|pv=12.0|bat=20.0,good,6.0,12.0,20.0,-560.0513179075426,3309.771839232164,10629.705285862123,214.75187479870243,4658.746260215559,232.93731301077796,0.46789644620527115,0.79081043070399,714.4604142583528,939.1013611948792
good|w=12.0|pv=00.0|bat=00.0,good,12.0,0.0,0.0,1374.4181283890534,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
good|w=12.0|pv=00.0|bat=05.0,good,12.0,0.0,5.0,1224.4132149355707,6492.230222437534,28.784470978240332,0.0,1172.6366492380191,234.52732984760382,NaN,0.3267878476914172,150.0049134534827,-439.204043412875
good|w=12.0|pv=00.0|bat=10.0,good,12.0,0.0,10.0,1180.8727870865196,6675.197553303842,175.26806613832267,0.0,1532.2681515443662,153.22681515443662,NaN,0.383473000352368,193.54534130253387,-1870.0633872238514
good|w=12.0|pv=00.0|bat=15.0,good,12.0,0.0,15.0,1154.4795229483952,6888.877525086398,366.0923778948211,0.0,1765.7525943496687,117.71683962331124,NaN,0.38802576215533224,219.9386054406582,-3525.062650836514
good|w=12.0|pv=00.0|bat=20.0,good,12.0,0.0,20.0,1129.2132255053,7096.581226731094,551.8369693478785,0.0,1990.9382040722658,99.5469102036133,NaN,0.3905564748337452,245.20490288375345,-5194.7931101676895
good|w=12.0|pv=06.0|bat=00.0,good,12.0,6.0,0.0,700.3061966286623,5019.613479349337,5626.387013980719,237.9167953237864,0.0,NaN,0.1899705151760971,0.3152856896267605,0.0,NaN
good|w=12.0|pv=06.0|bat=05.0,good,12.0,6.0,5.0,376.2795360234301,3673.641312512452,4175.217202204864,176.67287739359193,1562.5744665581472,312.5148933116294,0.4147257510061276,0.733633282565385,324.02666060523217,1835.5290324419493
good|w=12.0|pv=06.0|bat=10.0,good,12.0,6.0,10.0,206.41506000926233,3296.4040052777104,3738.09974372541,115.73309398022161,2702.856425829129,270.2856425829129,0.5825821575558091,0.8080962896341807,493.89113661939996,2055.920152094556
good|w=12.0|pv=06.0|bat=15.0,good,12.0,6.0,15.0,86.04509605387057,3170.1605683110156,3553.584278592404,84.32589153241457,3554.8872527957064,236.99248351971377,0.7057725294734454,0.8096033734802394,614.2611005747917,1629.3415366644786
good|w=12.0|pv=06.0|bat=20.0,good,12.0,6.0,20.0,-6.952681871182222,3118.174347100464,3439.2483081856326,74.36309117537796,4246.164955070728,212.3082477535364,0.804944118361345,0.8100287005519763,707.2588784998445,844.9661634109779
good|w=12.0|pv=12.0|bat=00.0,good,12.0,12.0,0.0,151.21723715874225,4607.119662242905,12119.991275239656,515.639481696196,0.0,NaN,0.12503685507448845,0.3456899805482828,0.0,NaN
good|w=12.0|pv=12.0|bat=05.0,good,12.0,12.0,5.0,-182.64312243009806,3207.347129172942,10598.124599013767,463.38700087495357,1635.746955275846,327.1493910551692,0.24569226722276316,0.7720802056722966,333.8603595888403,1964.0706699219322
good|w=12.0|pv=12.0|bat=10.0,good,12.0,12.0,10.0,-378.4470009860334,2739.693147579614,10072.617511732364,380.69039471326124,2958.6558265006024,295.8655826500602,0.34616106754180254,0.8654315938604603,529.6642381447757,2523.529853741358
good|w=12.0|pv=12.0|bat=15.0,good,12.0,12.0,15.0,-529.7111326072595,2591.6312140336686,9889.932144288628,296.7799365603439,4077.7772375340855,271.8518158356057,0.4286633794807937,0.8687131193018127,680.9283697660018,2500.785737106402
good|w=12.0|pv=12.0|bat=20.0,good,12.0,12.0,20.0,-662.6179483364551,2529.223919926733,9779.500573609477,235.79422182731577,5108.741516026201,255.43707580131004,0.5043130240544118,0.8691251093690403,813.8351854951974,2238.0831421376797
good|w=24.0|pv=00.0|bat=00.0,good,24.0,0.0,0.0,1338.814211402097,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
good|w=24.0|pv=00.0|bat=05.0,good,24.0,0.0,5.0,1183.826472827741,6494.894366967686,29.864989122628046,0.0,1187.2953447575446,237.45906895150893,NaN,0.330580570315597,154.98773857435594,-374.0708212773291
good|w=24.0|pv=00.0|bat=10.0,good,24.0,0.0,10.0,1107.120208602088,6656.867661151942,121.81241532268942,0.0,1857.4065843035391,185.7406584303539,NaN,0.4552647527226275,231.694002800009,-1371.401446815768
good|w=24.0|pv=00.0|bat=15.0,good,24.0,0.0,15.0,1058.706489069162,6851.1123304110515,268.760471088487,0.0,2317.1265194595894,154.47510129730597,NaN,0.4689512558951323,280.10772233293505,-2738.5593397274392
good|w=24.0|pv=00.0|bat=20.0,good,24.0,0.0,20.0,1014.9638681780579,7052.472518536591,426.7889637500702,0.0,2740.14554670287,137.0072773351435,NaN,0.4776528777254161,323.8503432240392,-4166.775708117276
good|w=24.0|pv=06.0|bat=00.0,good,24.0,6.0,0.0,634.528566188133,4668.808413292121,5303.282035556578,210.21670769071167,0.0,NaN,0.23952062775955424,0.3152856896267605,0.0,NaN
good|w=24.0|pv=06.0|bat=05.0,good,24.0,6.0,5.0,306.74418745918405,3339.194203390616,3872.796115193144,146.74593514502988,1543.1445221986462,308.62890443972924,0.4581111433926125,0.7278996750512149,327.784378728949,1884.6482134963949
good|w=24.0|pv=06.0|bat=10.0,good,24.0,6.0,10.0,116.81981937446852,2636.9378201082845,3085.9867704199605,105.46814555724909,2729.808653977788,272.98086539777876,0.6311472913371541,0.8270794858930156,517.7087468136644,2367.2531123909835
good|w=24.0|pv=06.0|bat=15.0,good,24.0,6.0,15.0,-16.134706544455696,2254.1310918884724,2626.8963670580315,86.08651346227231,3637.249061992946,242.48327079952972,0.7581139063110387,0.830191910499607,650.6632727325887,2105.174163307946
good|w=24.0|pv=06.0|bat=20.0,good,24.0,6.0,20.0,-102.51341605113845,2219.1242818370274,2532.754765304221,75.6615981569236,4303.04532429511,215.15226621475549,0.8464312104610852,0.8311445811753537,737.0419822392714,1234.277340241149
good|w=24.0|pv=12.0|bat=00.0,good,24.0,12.0,0.0,77.76863099416619,4241.829535725544,11807.420799991569,462.9198304269216,0.0,NaN,0.15083371997301917,0.3456899805482828,0.0,NaN
good|w=24.0|pv=12.0|bat=05.0,good,24.0,12.0,5.0,-259.3829042737991,2818.332607074336,10281.184715575788,392.87255423086015,1621.305177892037,324.26103557840736,0.2703286940868428,0.7680646826016069,337.1515352679653,2007.091420479195
good|w=24.0|pv=12.0|bat=10.0,good,24.0,12.0,10.0,-480.0025380770334,1972.317627801419,9352.806063384283,325.84623570381365,3026.043303837498,302.6043303837498,0.37666858129965675,0.8915357828981985,557.7711690711997,2890.930862440291
good|w=24.0|pv=12.0|bat=15.0,good,24.0,12.0,15.0,-649.4864400483211,1545.3774979870605,8866.879549858339,256.305309811036,4237.667887611244,282.51119250741624,0.46604836936053645,0.9000593455040019,727.2550710424873,3106.3472914158983
good|w=24.0|pv=12.0|bat=20.0,good,24.0,12.0,20.0,-791.2547335281388,1390.9176926553018,8639.186086644728,215.21207751782995,5317.847563334223,265.8923781667112,0.5458872307471525,0.9004430930908701,869.023364522305,2959.4779004588213
good|w=48.0|pv=00.0|bat=00.0,good,48.0,0.0,0.0,1278.2406360368796,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
good|w=48.0|pv=00.0|bat=05.0,good,48.0,0.0,5.0,1122.6194684521683,6494.092429713408,29.864295172115078,0.0,1179.8787080226848,235.97574160453695,NaN,0.3284676425464846,155.6211675847112,-365.790925547949
good|w=48.0|pv=00.0|bat=10.0,good,48.0,0.0,10.0,1042.6509292482183,6651.109726460218,116.13424563187979,0.0,1856.6682467309633,185.66682467309633,NaN,0.4672557613724447,235.58970678866126,-1320.4785773367046
good|w=48.0|pv=00.0|bat=15.0,good,48.0,0.0,15.0,987.1688529871464,6836.776045429218,253.84457868744732,0.0,2322.4916035194283,154.83277356796188,NaN,0.5085690649324104,291.0717830497332,-2595.2421281352968
good|w=48.0|pv=00.0|bat=20.0,good,48.0,0.0,20.0,940.1672651613276,7083.615083416344,458.1104546006842,0.0,2738.489334511046,136.9244667255523,NaN,0.5319534802077545,338.073370875552,-3980.858764015564
good|w=48.0|pv=06.0|bat=00.0,good,48.0,6.0,0.0,540.12218903963,4274.931273215119,4921.597161464944,198.02444170534366,0.0,NaN,0.2954851624805818,0.3152856896267605,0.0,NaN
good|w=48.0|pv=06.0|bat=05.0,good,48.0,6.0,5.0,225.03478255853548,3035.085927716761,3573.260664113716,144.62579792934852,1520.4414415902613,304.08828831805226,0.5007760743029086,0.7219319018815079,315.08740648109455,1718.679171074246
good|w=48.0|pv=06.0|bat=10.0,good,48.0,6.0,10.0,45.31595317429537,2403.006664515823,2862.65818669708,103.16492083398167,2652.986491931143,265.29864919311433,0.6597324786722321,0.8191612807946136,494.80623586533466,2067.881912946217
good|w=48.0|pv=06.0|bat=15.0,good,48.0,6.0,15.0,-78.55260384467931,2168.735905230444,2556.2459356386876,82.70178566038618,3532.095987513865,235.47306583425768,0.7776099977838014,0.8353356084598383,618.6747928843093,1687.0353137206941
good|w=48.0|pv=06.0|bat=20.0,good,48.0,6.0,20.0,-164.0334841327042,2167.705776172256,2497.98608480249,72.64075681438646,4176.889858674558,208.8444929337279,0.863751389478276,0.8389286894876953,704.1556731723342,804.4024757386487
good|w=48.0|pv=12.0|bat=00.0,good,48.0,12.0,0.0,-17.36520889359042,3806.055862380933,11385.483540895806,449.08341617807395,0.0,NaN,0.18199259950509047,0.3456899805482828,0.0,NaN
good|w=48.0|pv=12.0|bat=05.0,good,48.0,12.0,5.0,-352.92374186211066,2396.829648648957,9878.746494105762,374.97164518892356,1610.5323092575773,322.10646185151546,0.300132809884217,0.765708483369093,335.55853296852024,1986.2684194476026
good|w=48.0|pv=12.0|bat=10.0,good,48.0,12.0,10.0,-566.7086666563679,1627.8245242122332,9026.139299254968,312.27454173641473,2986.6605596636064,298.66605596636066,0.40496895663847593,0.8866408939970024,549.3434577627775,2780.7676559399774
