# run started 2026-08-17 06:47:21
# name	seconds	imported_kwh	annual_bill_eur
typical|w=48.0|pv=06.0|bat=20.0       	  687.1	  2179.2	  -161.44
load-only|w=48.0|pv=00.0|bat=20.0     	  650.1	  7085.4	   941.35
load-only|w=48.0|pv=00.0|bat=10.0     	  651.1	  6651.9	  1043.35
load-only|w=48.0|pv=00.0|bat=15.0     	  650.8	  6839.8	   988.07
load-only|w=48.0|pv=00.0|bat=05.0     	  651.6	  6494.0	  1122.87
perfect|w=06.0|pv=06.0|bat=20.0       	   97.5	  3858.8	   131.44
perfect|w=06.0|pv=06.0|bat=10.0       	   98.1	  3770.3	   267.30
perfect|w=06.0|pv=06.0|bat=15.0       	  100.3	  3802.4	   183.19
perfect|w=06.0|pv=06.0|bat=05.0       	   98.8	  3805.3	   392.52
good|w=06.0|pv=06.0|bat=20.0          	   97.5	  3863.1	   131.99
pv-only|w=48.0|pv=12.0|bat=20.0       	  582.1	  1171.3	  -871.68
good|w=06.0|pv=06.0|bat=10.0          	   98.0	  3774.6	   267.82
pv-only|w=48.0|pv=12.0|bat=15.0       	  583.7	  1286.1	  -732.59
good|w=06.0|pv=06.0|bat=15.0          	  100.6	  3806.7	   183.69
pv-only|w=48.0|pv=12.0|bat=10.0       	  576.6	  1614.5	  -567.32
good|w=06.0|pv=06.0|bat=05.0          	   98.5	  3809.7	   393.01
pv-only|w=48.0|pv=12.0|bat=05.0       	  583.0	  2395.3	  -352.76
typical|w=06.0|pv=06.0|bat=20.0       	   98.5	  3867.1	   132.48
typical|w=06.0|pv=06.0|bat=10.0       	   96.4	  3778.6	   268.33
typical|w=06.0|pv=06.0|bat=15.0       	   98.3	  3810.9	   184.20
typical|w=06.0|pv=06.0|bat=05.0       	   95.0	  3814.9	   393.60
load-only|w=48.0|pv=12.0|bat=20.0     	  478.8	  1197.6	  -871.72
load-only|w=48.0|pv=12.0|bat=15.0     	  474.5	  1316.0	  -731.99
load-only|w=48.0|pv=12.0|bat=10.0     	  474.6	  1641.7	  -565.67
load-only|w=48.0|pv=12.0|bat=05.0     	  473.2	  2401.4	  -352.64
