# run started 2026-08-17 06:47:21
# name	seconds	imported_kwh	annual_bill_eur
perfect|w=06.0|pv=00.0|bat=15.0       	  253.3	  6813.6	  1205.36
perfect|w=06.0|pv=00.0|bat=20.0       	  253.7	  7007.5	  1186.19
poor|w=06.0|pv=06.0|bat=20.0          	  260.4	  3875.9	   133.49
poor|w=06.0|pv=06.0|bat=10.0          	  261.6	  3786.9	   269.41
poor|w=06.0|pv=06.0|bat=15.0          	  262.4	  3819.9	   185.26
poor|w=06.0|pv=06.0|bat=05.0          	  264.7	  3825.4	   394.78
perfect|w=06.0|pv=00.0|bat=05.0       	  266.0	  6480.3	  1249.98
perfect|w=12.0|pv=12.0|bat=15.0       	  425.4	  2581.5	  -530.81
perfect|w=12.0|pv=12.0|bat=10.0       	  427.3	  2730.3	  -379.47
perfect|w=12.0|pv=12.0|bat=05.0       	  428.6	  3197.6	  -183.67
perfect|w=12.0|pv=12.0|bat=20.0       	  433.0	  2519.0	  -663.77
poor|w=12.0|pv=00.0|bat=20.0          	  438.5	  7099.9	  1130.94
poor|w=12.0|pv=00.0|bat=10.0          	  441.6	  6673.6	  1183.10
poor|w=12.0|pv=00.0|bat=15.0          	  442.6	  6891.9	  1156.25
poor|w=12.0|pv=00.0|bat=05.0          	  449.1	  6490.5	  1226.41
good|w=06.0|pv=00.0|bat=20.0          	  256.8	  7007.1	  1186.54
good|w=06.0|pv=00.0|bat=15.0          	  257.5	  6813.1	  1205.69
pv-only|w=06.0|pv=06.0|bat=20.0       	  255.2	  3862.5	   131.97
good|w=06.0|pv=00.0|bat=10.0          	  263.7	  6632.6	  1225.97
pv-only|w=06.0|pv=06.0|bat=15.0       	  257.3	  3806.2	   183.66
pv-only|w=06.0|pv=06.0|bat=10.0       	  261.7	  3774.0	   267.82
pv-only|w=06.0|pv=06.0|bat=05.0       	  259.4	  3809.0	   393.00
good|w=06.0|pv=00.0|bat=05.0          	  276.5	  6480.0	  1250.33
typical|w=06.0|pv=00.0|bat=20.0       	  255.3	  7006.9	  1186.84
poor|w=24.0|pv=12.0|bat=20.0          	  767.4	  1437.8	  -786.47
typical|w=06.0|pv=00.0|bat=15.0       	  257.8	  6812.9	  1205.98
poor|w=24.0|pv=12.0|bat=05.0          	  770.7	  2840.5	  -256.24
load-only|w=06.0|pv=06.0|bat=20.0     	  255.2	  3865.2	   132.17
poor|w=24.0|pv=12.0|bat=15.0          	  771.1	  1592.5	  -644.42
good|w=24.0|pv=06.0|bat=10.0          	  773.0	  2636.9	   116.82
poor|w=24.0|pv=12.0|bat=10.0          	  775.0	  2012.5	  -474.98
good|w=24.0|pv=06.0|bat=15.0          	  774.3	  2254.1	   -16.13
load-only|w=06.0|pv=06.0|bat=15.0     	  256.8	  3808.9	   183.95
good|w=24.0|pv=06.0|bat=05.0          	  775.3	  3339.2	   306.74
typical|w=06.0|pv=00.0|bat=10.0       	  261.7	  6632.5	  1226.25
load-only|w=06.0|pv=06.0|bat=10.0     	  255.6	  3776.7	   268.03
good|w=24.0|pv=06.0|bat=20.0          	  782.1	  2219.1	  -102.51
load-only|w=06.0|pv=06.0|bat=05.0     	  262.8	  3813.2	   393.35
typical|w=06.0|pv=00.0|bat=05.0       	  273.8	  6479.8	  1250.71
good|w=12.0|pv=12.0|bat=15.0          	  430.3	  2591.6	  -529.71
good|w=12.0|pv=12.0|bat=10.0          	  433.6	  2739.7	  -378.45
good|w=12.0|pv=12.0|bat=05.0          	  433.1	  3207.3	  -182.64
good|w=12.0|pv=12.0|bat=20.0          	  436.0	  2529.2	  -662.62
pv-only|w=12.0|pv=00.0|bat=20.0       	  431.3	  7095.6	  1128.60
pv-only|w=12.0|pv=00.0|bat=10.0       	  431.4	  6676.4	  1180.14
pv-only|w=12.0|pv=00.0|bat=15.0       	  431.6	  6888.5	  1153.95
pv-only|w=12.0|pv=00.0|bat=05.0       	  439.0	  6492.5	  1224.05
poor|w=06.0|pv=00.0|bat=20.0          	  248.1	  7007.0	  1187.45
poor|w=06.0|pv=00.0|bat=15.0          	  247.6	  6813.0	  1206.58
poor|w=06.0|pv=00.0|bat=10.0          	  250.3	  6632.8	  1226.83
poor|w=06.0|pv=00.0|bat=05.0          	  262.6	  6479.2	  1251.63
perfect|w=12.0|pv=06.0|bat=20.0       	  414.5	  3111.9	    -7.49
perfect|w=12.0|pv=06.0|bat=15.0       	  414.3	  3166.2	    85.57
perfect|w=12.0|pv=06.0|bat=10.0       	  412.3	  3292.6	   205.91
perfect|w=12.0|pv=06.0|bat=05.0       	  421.4	  3667.1	   375.52
pv-only|w=06.0|pv=00.0|bat=20.0       	  246.4	  7007.5	  1186.19
pv-only|w=06.0|pv=00.0|bat=15.0       	  246.6	  6813.6	  1205.36
typical|w=12.0|pv=12.0|bat=15.0       	  416.8	  2602.4	  -528.43
typical|w=12.0|pv=12.0|bat=10.0       	  418.4	  2750.2	  -377.15
pv-only|w=06.0|pv=00.0|bat=10.0       	  250.6	  6633.0	  1225.65
typical|w=12.0|pv=12.0|bat=05.0       	  424.3	  3217.7	  -181.55
typical|w=12.0|pv=12.0|bat=20.0       	  424.0	  2540.0	  -661.22
load-only|w=12.0|pv=00.0|bat=20.0     	  423.9	  7097.6	  1129.79
perfect|w=24.0|pv=00.0|bat=20.0       	    1.1	  7051.4	  1013.59
load-only|w=12.0|pv=00.0|bat=10.0     	  425.1	  6675.0	  1181.64
perfect|w=24.0|pv=00.0|bat=10.0       	    1.5	  6657.2	  1106.15
load-only|w=12.0|pv=00.0|bat=15.0     	  429.8	  6889.9	  1155.07
perfect|w=24.0|pv=00.0|bat=15.0       	    1.3	  6851.0	  1057.80
load-only|w=12.0|pv=00.0|bat=05.0     	  428.2	  6491.7	  1224.98
perfect|w=24.0|pv=00.0|bat=05.0       	    1.2	  6495.0	  1183.60
pv-only|w=06.0|pv=00.0|bat=05.0       	  259.8	  6480.3	  1249.98
poor|w=48.0|pv=06.0|bat=15.0          	 1465.2	  2219.6	   -70.40
poor|w=48.0|pv=06.0|bat=10.0          	 1469.4	  2442.6	    50.56
poor|w=48.0|pv=06.0|bat=20.0          	 1472.1	  2216.2	  -155.55
poor|w=48.0|pv=06.0|bat=05.0          	 1480.1	  3050.5	   227.76
perfect|w=48.0|pv=00.0|bat=20.0       	 1487.8	  7081.7	   939.51
load-only|w=06.0|pv=00.0|bat=20.0     	  239.7	  7006.9	  1186.84
perfect|w=48.0|pv=00.0|bat=15.0       	 1501.4	  6834.4	   986.48
perfect|w=48.0|pv=00.0|bat=05.0       	 1502.1	  6494.1	  1122.45
load-only|w=06.0|pv=00.0|bat=15.0     	  240.0	  6812.9	  1205.98
perfect|w=48.0|pv=00.0|bat=10.0       	 1503.9	  6650.3	  1042.05
load-only|w=06.0|pv=00.0|bat=10.0     	  243.8	  6632.5	  1226.25
pv-only|w=24.0|pv=12.0|bat=20.0       	  756.5	  1387.0	  -791.12
pv-only|w=24.0|pv=12.0|bat=15.0       	  758.9	  1542.0	  -649.21
pv-only|w=24.0|pv=12.0|bat=10.0       	  757.2	  1965.8	  -480.42
typical|w=24.0|pv=06.0|bat=10.0       	  758.0	  2646.7	   118.37
